id,original_title,cast,director,tagline,keywords,overview,genres,production_companies
24832,Damage,Steve Austin|Lynda Boyd|Laura Vandervoort|Walton Goggins|William B. Davis,Jeff King,Bring The Pain.,ex-detainee|paternity|fistfight,"An ex-con battles it out in the cage to pay for the operation that would save the daughter of his victim. Along the way he finds fatherly love, and friendship, in the most unlikely of places.",Action|Thriller,"Insight Film Studios|Nasser Group, North|NGN Fighter Productions"
26588,Summer's Blood,Ashley Greene|Peter Mooney|Barbara Niven|Stephen McHattie|Peter Michael Dillon,Lee Demarbre,"In this house, within these walls, one family has a deadly secret.",date|prostitute|sex|sheriff|secret,"A demented handyman comes to the rescue of a young woman (Ashley Greene), then imprisons her in his basement.",Horror|Thriller,Lionsgate|Zed Filmworks
30250,Cold Souls,Paul Giamatti|Emily Watson|Dina Korzun|David Strathairn|Katheryn Winnick,Sophie Barthes,A soul searching comedy.,soul selling|woman director,"Paul Giamatti stars as himself, agonizing over his interpretation of ""Uncle Vanya."" Paralyzed by anxiety, he stumbles upon a solution via a New Yorker article about a high-tech company promising to alleviate suffering by extracting souls. Giamatti enlists their service -- only to discover that his soul is the shape and size of a chickpea.",Fantasy|Drama|Comedy|Science Fiction,Journeyman Pictures|Winner Arts|Touchy Feely Films|Memento Films Production|Arte France CinÃ©ma
16931,Into the Blue 2: The Reef,Chris Carmack|Laura Vandervoort|Audrina Patridge|Marsha Thomason|David Anders,Stephen Herek,It's not another day at the beach.,chance,"When they're hired to recover the lost treasure of Columbus, married scuba divers Sebastian (Chris Carmack) and Dani (Laura Vandervoort) think they've hit the jackpot. But as they get closer to the fortune, the couple begins to suspect their employers have their own agenda. Hitting upon the real plan, the two come to the chilling realization that they may be expendable and that there's much more than riches at stake.",Action,Mandalay Pictures|Brookwell-McNamara Entertainment|MGM Home Entertainment|Metro-Goldwyn-Mayer (MGM)
37659,When You're Strange,Johnny Depp|John Densmore|Robby Krieger|Ray Manzarek|Jim Morrison,Tom DiCillo,A film about The Doors,the doors|gang|rock band,"A documentary about the life of California rock band The Doors, written and directed by Tom DiCillo and narrated by Johnny Depp. Makes public for the first time material from Jim Morrison's 1969 film fragment â€˜HWY: An American Pastoralâ€™, and spans the period from the bandâ€™s formation through to Morrisonâ€™s death in 1973, aged just 27.",Documentary|Music,Wolf Films|Strange Pictures
2325,Leningrad,Gabriel Byrne|Mira Sorvino|Armin Mueller-Stahl|Alexander Beyer|Christian Berkel,Aleksandr Buravsky,Some fight. Others fall. All are heroes.,journalist|world war ii|wolf's lair|st. petersburg|restaurant critic,"When in 1941 Nazi Germany invaded the Soviet Union, their troops quickly besieged Leningrad. Foreign journalists are evacuated but one of them, Kate Davies, is presumed dead and misses the plane. Alone in the city she is helped by Nina Tsvetnova a young and idealist police officer and together they will fight for their own survival and the survival of the people in the besieged Leningrad. Written by Marcio Eduardo",War|Drama,Channel One Russia|KoBura Film|Ministerstvo kultury Rossiyskoy Federatsii|Studiya dokumental'nykh fil'mov Sankt-Peterburga|Kinokompaniya Non-Stop Prodakshn
101907,Hulk vs. Thor,Graham McTavish|Fred Tatasciore|Matthew Wolf|Jay Brazeau|Grey Griffin,Sam Liu,A Battle Between God and Monster,marvel comic|superhero|hulk|norse mythology|superhuman strength,"For ages, Odin has protected his kingdom of Asgard. But every winter, the All-Father must rest and regain his strength for one week. During this time, all of Asgard's foes (including trolls, giants, dark elves, and demons) try to claim the realm for their own, but they are always stopped by Odin's son, the mighty Thor, albeit with the loss of many brave Asgardian warriors. Loki, god of mischief, has kidnapped Dr. Bruce Banner and brought him to Asgard with the help of Amora, once Thor's lover, now the supervillain known as the Enchantress. Loki makes Banner angry and he changes into the Hulk. The Enchantress then casts a spell over the Hulk which separates Banner from his monstrous alter-ego and grants Loki control over the Hulk's body.",Action|Animation|Fantasy|Science Fiction,Marvel Studios
42556,12 Men of Christmas,Kristin Chenoweth|Josh Hopkins|Anna Chlumsky|Erin Dilly|Stephen Huszar,Arlene Sanford,Calendar Girls meets The Full Monty,montana|sister sister relationship|rocky mountains|underwear|calendar,"A high-powered New York publicist finds herself in Montana promoting a charity calendar after being betrayed by her boss and fiancÃ©. Unfortunately, matters of the heart are just as complicated in the wilds as they are in the big city.",Comedy|Romance,Lisa Demberg Productions|Fox Television Studios|Lifetime Television
36123,Under the Sea 3D,Jim Carrey,Howard Hall,A world beyond imagination.,sea|australia|underwater|imax|south pacific,"Imagine a world of incredible color and beauty. Of crabs wearing jellyfish for hats. Of fish disguised as frogs, stones and shag carpets. Of a kaleidoscope of life dancing and weaving, floating and darting in an underwater wonderland. Now, go explore it! Howard Hall and his filmmaking team, who brought you Deep Sea and Into the Deep, take you into tropical waters alive with adventure: the Great Barrier Reef and other South Pacific realms. Narrated by Jim Carrey and featuring astonishing camerawork, this amazing film brings you face to fin with Nature's marvels, from the terrible grandeur (and terrible teeth) of a Great White to the comic antics of a lovestruck cuttlefish. Excitement and fun run deep Under the Sea!",Documentary,Warner Bros.|Imax Filmed Entertainment|Howard Hall Productions
22494,Frequently Asked Questions About Time Travel,Chris O'Dowd|Dean Lennox Kelly|Anna Faris|Meredith MacNeill|Marc Wootton,Gareth Carrivick,Three guys. One pub. Too much time on their hands.,time travel|pub,Three men walk into a bar; two geeks and a cynic. They are three ordinary blokes who all have dreams and hopes for an exciting and better future,Drama|Comedy|Science Fiction|Romance,BBC Films|Dog Lamp Films|HBO Films
